date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:35	13577/13577	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2003:03:15%20GMT	https://risis.in/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/risis/risis.in/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://risis.in/)
18:48:37	1284/1284	---MC-	200	added ('OK')	application/json	date:Thu,%2014%20Sep%202023%2017:48:36%20GMT	https://risis.in/wp-json/wp/v2/pages/6	C:/My%20Web%20Sites/risis/risis.in/wp-json/wp/v2/pages/6.json	(from https://risis.in/)
18:48:38	289300/289300	---MC-	200	added ('OK')	application/json	date:Thu,%2014%20Sep%202023%2017:48:36%20GMT	https://risis.in/wp-json/	C:/My%20Web%20Sites/risis/risis.in/wp-json/index.html	(from https://risis.in/)
18:48:38	83/83	---M--	409	error ('Conflict')	text/html	date:Thu,%2014%20Sep%202023%2017:48:38%20GMT	https://risis.in/xmlrpc.php?rsd	C:/My%20Web%20Sites/risis/risis.in/xmlrpc.120db0.delayed	(from https://risis.in/)
18:48:41	2442/2442	---MC-	200	added ('OK')	text/xml	date:Thu,%2014%20Sep%202023%2017:48:40%20GMT	https://risis.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frisis.in%2F&format=xml	C:/My%20Web%20Sites/risis/risis.in/wp-json/oembed/1.0/embedd186	(from https://risis.in/)
18:48:42	19883/19883	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/apple-touch-icon.png	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/apple-touch-icon.png	(from https://risis.in/)
18:48:44	2496/2496	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/favicon-32x32.png	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/favicon-32x32.png	(from https://risis.in/)
18:48:45	1137/1137	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/favicon-16x16.png	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/favicon-16x16.png	(from https://risis.in/)
18:48:47	476/476	---M--	200	added ('OK')	text/html	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/site.webmanifest	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/site.html	(from https://risis.in/)
18:48:48	5051/5051	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/safari-pinned-tab.svg	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/safari-pinned-tab.svg	(from https://risis.in/)
18:48:51	12014/12014	---M--	200	added ('OK')	image/x-icon	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/favicon.ico	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/favicon.ico	(from https://risis.in/)
18:48:52	19386/19386	---M--	200	added ('OK')	image/png	etag:%223dc59cb2539dd3f3%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/cropped-risis-foundation.png?fit=1575%2C324&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/cropped-risis-foundation5a52.png	(from https://risis.in/)
18:48:57	61566/61566	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:48%20GMT	https://risis.in/practice-areas/	C:/My%20Web%20Sites/risis/risis.in/practice-areas/index.html	(from https://risis.in/)
18:48:57	68707/68707	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:48%20GMT	https://risis.in/about/	C:/My%20Web%20Sites/risis/risis.in/about/index.html	(from https://risis.in/)
18:48:57	156040/156040	---M--	200	added ('OK')	image/jpeg	etag:%2220e573f6e9fd3e63%22	https://i0.wp.com/risis.in/wp-content/uploads/2018/07/justice1920x1280.jpg?fit=1920%2C1280&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2018/07/justice1920x1280fbf8.jpg	(from https://risis.in/)
18:48:58	70077/70077	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:49%20GMT	https://risis.in/attorneys/	C:/My%20Web%20Sites/risis/risis.in/attorneys/index.html	(from https://risis.in/)
18:48:59	61760/61760	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:50%20GMT	https://risis.in/gallery/	C:/My%20Web%20Sites/risis/risis.in/gallery/index.html	(from https://risis.in/)
18:49:00	69226/69226	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:51%20GMT	https://risis.in/blog/	C:/My%20Web%20Sites/risis/risis.in/blog/index.html	(from https://risis.in/)
18:49:00	83/83	---M--	409	error ('Conflict')	text/html	date:Thu,%2014%20Sep%202023%2017:49:00%20GMT	https://risis.in/contact/	C:/My%20Web%20Sites/risis/risis.in/contact/index.html	(from https://risis.in/)
18:49:00	160080/160080	---M--	200	added ('OK')	image/jpeg	etag:%22ce5d9c4293fe8dda%22	https://i0.wp.com/risis.in/wp-content/uploads/2018/07/pexels-photo-overlayed.jpg?fit=1920%2C1280&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2018/07/pexels-photo-overlayedfbf8.jpg	(from https://risis.in/)
18:49:05	63551/63551	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:56%20GMT	https://risis.in/acid-attack-victims/	C:/My%20Web%20Sites/risis/risis.in/acid-attack-victims/index.html	(from https://risis.in/)
18:49:05	64444/64444	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:56%20GMT	https://risis.in/fair-fees/	C:/My%20Web%20Sites/risis/risis.in/fair-fees/index.html	(from https://risis.in/)
18:49:06	63751/63751	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:57%20GMT	https://risis.in/quality-representation/	C:/My%20Web%20Sites/risis/risis.in/quality-representation/index.html	(from https://risis.in/)
18:49:06	287412/287412	---M--	200	added ('OK')	image/jpeg	etag:%22649a4ed82fdc7242%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/ILC-2018.jpg?fit=1944%2C1296&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/ILC-2018854e.jpg	(from https://risis.in/)
18:49:07	54577/54577	---M--	200	added ('OK')	image/jpeg	etag:%225efb8cc6bd0953f9%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/ILC-2018.jpg?fit=640%2C427&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/ILC-2018b7e0.jpg	(from https://risis.in/)
18:49:08	63455/63455	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:59%20GMT	https://risis.in/domestic-violence/	C:/My%20Web%20Sites/risis/risis.in/domestic-violence/index.html	(from https://risis.in/)
18:49:08	63543/63543	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:59%20GMT	https://risis.in/farmer-land-issues/	C:/My%20Web%20Sites/risis/risis.in/farmer-land-issues/index.html	(from https://risis.in/)
18:49:09	402331/402331	---M--	200	added ('OK')	image/jpeg	etag:%22b51505067bfbed15%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/2019.jpg?fit=1600%2C1067&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/20190d58.jpg	(from https://risis.in/)
18:49:10	63533/63533	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:00%20GMT	https://risis.in/matrimonial-issues/	C:/My%20Web%20Sites/risis/risis.in/matrimonial-issues/index.html	(from https://risis.in/)
18:49:11	63525/63525	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:02%20GMT	https://risis.in/police-atrocities/	C:/My%20Web%20Sites/risis/risis.in/police-atrocities/index.html	(from https://risis.in/)
18:49:12	63390/63390	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:03%20GMT	https://risis.in/pil-issues/	C:/My%20Web%20Sites/risis/risis.in/pil-issues/index.html	(from https://risis.in/)
18:49:12	63479/63479	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:03%20GMT	https://risis.in/rti-issues/	C:/My%20Web%20Sites/risis/risis.in/rti-issues/index.html	(from https://risis.in/)
